id,latitude,longtitude,population
"Pekin",39.9075,116.397,11716620
"Shanhai",31.2222,121.458,22315474
"Kaifun",34.7986,114.307,900000
"Sian",34.2583,108.929,6501190
"Tyanzin",39.1422,117.177,11090314
"Chunzin",29.5628,106.553,7457600
"Lanchjoy",36.057,103.84,2628426
"Fuchjoy",26.0614,119.306,1179720
"Mishan",45.55,131.883,87257
"Nanian",32.9947,112.533,251532
